,0,1,2,3,4,5
0,美國,#滑板少女,2018-12-21,1,552,"127,855"
1,南韓,0.0赫茲,2019-06-14,1,14805,3392830
2,西班牙,100公尺的人生,2017-04-28,1,"10,575","2,326,177"
3,澳洲,108悍將,2019-10-04,5,26914,5626120
4,加拿大,11號戰壕,2018-04-13,1,84,"17,735"
5,美國,12猛漢,2018-01-19,5,"163,354","36,100,389"
6,美國,15:17巴黎列車,2018-02-08,2,"71,550","16,074,226"
7,南韓,1987：黎明到來的那一天,2018-01-12,1,"21,000","4,779,947"
8,美國,2001太空漫遊,2018-06-04,1,"4,316","1,056,521"
9,美國,211緊急呼救,2018-06-01,5,"16,429","3,250,455"
10,"中華民國
／土耳其",3260 ＋ 流星安魂曲,2018-06-03,1,98,"17,940"
11,中華民國,3904英呎,2017-12-08,1,"2,814","633,306"
12,阿根廷,4x4 危機四伏,2019-09-12,1,3775,836683
13,中華民國,5月天諾亞方舟,2013-09-18,1,1331,355250
14,挪威,7月22日重生,2019-01-11,1,"1,350","295,057"
15,南韓,82年生的金智英,2019-11-22,22,135806,31877239
16,美國,84那年夏天,2019-05-24,1,274,60795
17,加拿大,8級警戒,2019-12-13,2,4472,1062273
18,南韓,90分鐘末日倒數,2018-12-28,3,"165,826","37,278,309"
19,美國,AI終結戰,2019-06-19,2,6568,1512423
20,法國,BEATSPERMINUTE,2017-12-05,4,"4,733","1,025,768"
21,南韓,BRING THE SOUL: THE MOVIE,2019-08-07,1,30945,12023940
22,南韓,BURN THE STAGE：THE MOVIE,2018-11-15,3,"24,827","9,905,000"
23,南韓,BURNTHESTAGE：THEMOVIE,2018-11-15,10,"24,682","9,847,200"
24,日本,BanG Dream! FILM LIVE,2019-11-22,5,9458,2264053
25,中華民國,Bra太子,2019-05-10,2,2543,538249
26,波蘭,B面人生,2018-09-14,2,508,"105,240"
27,美國,CARS3閃電再起,2017-08-07,1,"204,389","45,927,013"
28,美國,CATS 貓,2019-12-24,97,44737,10413887
29,日本,CODE GEASS 復活的魯路修,2019-05-29,1,"26,457","6,584,419"
30,日本,CODE GEASS反叛的魯路修 III 皇道,2018-06-29,4,"7,242","1,762,041"
31,日本,CODE GEASS反叛的魯路修III皇道,2018-06-29,1,"7,265","1,767,651"
32,日本,CODE GEASS反叛的魯路修II叛道,2018-06-01,1,"6,991","1,717,880"
33,日本,CODEGEASS反叛的魯路修III皇道,2018-06-29,6,"7,090","1,723,915"
34,日本,CODEGEASS反叛的魯路修II叛道,2018-06-01,1,"6,989","1,717,420"
35,日本,CODEGEASS復活的魯路修,2019-05-29,2,26328,6554444
36,日本,FATE/STAYNIGHT[HEAVEN'SFEEL]I.預示之花,2018-01-22,1,"47,894","12,314,812"
37,日本,Fate/stay night：II.迷途之蝶,2019-03-09,5,"6,700,357","27,116"
38,日本,Fate_staynight[Heaven'sFeel]II.迷途之蝶,2019-03-09,7,"59,945","15,706,009"
39,香港,G殺事件,2019-03-29,8,"1,438","326,038"
40,日本,HELLO WORLD,2019-11-15,2,34750,8189036
41,日本,HIDE：來春之約,2018-08-31,1,"4,808","1,087,620"
42,日本,HIGH & LOW熱血街頭電影版2：天空的盡頭,2018-09-07,1,205,"44,660"
43,日本,HIGH & LOW熱血街頭電影版3：終極任務,2018-09-07,1,129,"27,710"
44,日本,HUMAN LOST 人間失格,2019-12-13,2,2006,489315
45,日本,JOJO的奇妙冒險不滅鑽石,2018-01-05,2,"6,939","1,629,947"
46,日本,"K SEVEN STORIES
Episode 1「R：B～BLAZE～」",2018-07-07,6,"1,621","388,235"
47,日本,K SEVEN STORIES EPISODE 2「SIDE：BLUE～猶如天狼～」,2018-08-10,5,"1,160","271,803"
48,日本,K SEVEN STORIES EPISODE 3「SIDE：GREEN～覆寫世界～」,2018-09-14,2,957,"220,503"
49,日本,K SEVEN STORIES EPISODE 4「LOSTSMALLWORLD～牢籠的彼端～」,2018-10-12,4,"1,320","308,142"
